date,wILI
2009-01-01,0.7665545787920702
2009-01-02,0.645870043459428
2009-01-03,0.4265182767351827
2009-01-04,0.5148275524206379
2009-01-05,1.198319144598619
2009-01-06,1.0046932748456907
2009-01-07,1.4304412604874281
2009-01-08,0.7963135651081086
2009-01-09,1.533026405004048
2009-01-10,2.059614232397058
2009-01-11,1.4597949026944177
2009-01-12,2.2997248839259057
2009-01-13,1.747663269606126
2009-01-14,3.173634428531558
2009-01-15,3.3120048664031265
2009-01-16,3.0690299262128993
2009-01-17,3.1664840588482597
2009-01-18,3.889779396334345
2009-01-19,3.99372966128452
2009-01-20,3.620826696603434
2009-01-21,4.592353884374441
2009-01-22,4.897524004515274
2009-01-23,5.143737738230858
2009-01-24,3.9840641513143678
2009-01-25,5.639104653388694
2009-01-26,4.49733261654086
2009-01-27,6.343802574571064
2009-01-28,5.729635084659367
2009-01-29,6.460977098639944
2009-01-30,5.880888298664871
2009-01-31,5.915561109973221
2009-02-01,5.760424860984745
2009-02-02,6.554728671141238
2009-02-03,6.870904070716153
2009-02-04,7.128423405434022
2009-02-05,6.209003374207017
2009-02-06,7.368396711882897
2009-02-07,7.045482798326389
2009-02-08,8.093705893378385
2009-02-09,7.690157541426652
2009-02-10,9.364779634035868
2009-02-11,8.487962040373997
2009-02-12,9.296538016929965
2009-02-13,8.033551193734676
2009-02-14,8.190484758228907
2009-02-15,8.583558182147463
2009-02-16,8.72431201229862
2009-02-17,9.27785000023061
2009-02-18,10.711635401646797
2009-02-19,9.766911368966483
2009-02-20,10.715307728212572
2009-02-21,10.811217644124884
2009-02-22,10.152342941202765
2009-02-23,9.907916388345889
2009-02-24,10.723409569563582
2009-02-25,10.148951163903936
2009-02-26,11.199636764864309
2009-02-27,11.146076678010477
2009-02-28,11.43631712549561
2009-03-01,11.820282300203178
2009-03-02,11.532671134381882
2009-03-03,11.846044896198526
2009-03-04,12.797829277701664
2009-03-05,12.342883683152369
2009-03-06,13.706125386861554
2009-03-07,13.564864128601279
2009-03-08,13.322406792088957
2009-03-09,13.86577505541368
2009-03-10,13.594722763164947
2009-03-11,14.240755251490006
2009-03-12,14.553526528891608
2009-03-13,13.617498064446197
2009-03-14,14.678202660139975
2009-03-15,14.856581533073934
2009-03-16,15.129096986399194
2009-03-17,15.36346425539272
2009-03-18,14.79285220759595
2009-03-19,15.747084992018788
2009-03-20,15.511033080915697
2009-03-21,15.861131456328621
2009-03-22,16.66017966903489
2009-03-23,15.461193437382454
2009-03-24,16.04258273576972
2009-03-25,17.2731706016394
2009-03-26,17.446868885567035
2009-03-27,17.24142126528371
2009-03-28,16.725829664903763
2009-03-29,17.20718900861339
2009-03-30,17.61839104204211
2009-03-31,17.848651300303175
2009-04-01,18.088802267663418
2009-04-02,18.986174641183403
2009-04-03,18.158923621987537
2009-04-04,18.41046342634961
2009-04-05,18.969444809893627
2009-04-06,19.046644105272666
2009-04-07,19.493916208193408
2009-04-08,19.238117512429653
2009-04-09,19.748238042052737
2009-04-10,19.304327588393523
2009-04-11,20.90006837333387
2009-04-12,20.523958769183714
2009-04-13,19.7977241095569
2009-04-14,20.647201634890536
2009-04-15,20.732715149200928
2009-04-16,20.597827955019095
2009-04-17,20.780351986777127
2009-04-18,21.119828351927346
2009-04-19,21.370462150374824
2009-04-20,21.784411038931268
2009-04-21,21.92875854051387
2009-04-22,22.973857259939976
2009-04-23,23.366270169304585
2009-04-24,21.859797494445544
2009-04-25,22.490788199737022
2009-04-26,22.28722747689214
2009-04-27,23.023447284796784
2009-04-28,24.324509127567318
2009-04-29,23.298772292621923
2009-04-30,24.394784440759924
2009-05-01,24.65046468657679
2009-05-02,23.70150771210692
2009-05-03,25.543524606668427
2009-05-04,24.152710193738102
2009-05-05,23.774591560296045
2009-05-06,25.233469411565025
2009-05-07,25.65532541831978
2009-05-08,26.44420616414548
2009-05-09,25.273854811599417
2009-05-10,25.807665038712813
2009-05-11,24.98454721049438
2009-05-12,26.551243459570713
2009-05-13,26.96811434233496
2009-05-14,25.622732739022187
2009-05-15,27.332451650527823
2009-05-16,27.045212689243424
2009-05-17,26.62855572469339
2009-05-18,26.9916725619366
2009-05-19,27.999500896082324
2009-05-20,28.132557509051356
2009-05-21,27.87912587322897
2009-05-22,27.80168932007235
2009-05-23,28.64734770196259
2009-05-24,28.570219620648988
2009-05-25,30.07580526603933
2009-05-26,29.207600011077552
2009-05-27,28.313351798490444
2009-05-28,29.27514526527001
2009-05-29,29.720664659441965
2009-05-30,29.714012349589918
2009-05-31,30.399595458177163
2009-06-01,30.27518600012112
2009-06-02,30.033886878947925
2009-06-03,30.247227991125364
2009-06-04,31.33760922452491
2009-06-05,30.769661301850114
2009-06-06,30.357741002596182
2009-06-07,31.100631187470675
2009-06-08,32.23169661769346
2009-06-09,31.808014930839168
2009-06-10,31.59849896588768
2009-06-11,32.81241751020973
2009-06-12,32.05912785191374
2009-06-13,32.21990207014448
2009-06-14,32.83186579982736
2009-06-15,33.81220003834012
2009-06-16,33.14700598864538
2009-06-17,33.284738126253764
2009-06-18,33.7777875131918
2009-06-19,33.84404692072813
2009-06-20,34.0725191819788
2009-06-21,34.34216867508706
2009-06-22,34.196853674680185
2009-06-23,33.93898280292194
2009-06-24,35.374865721725634
2009-06-25,35.1754480022028
2009-06-26,35.606340501665066
2009-06-27,35.25169014737472
2009-06-28,35.107722454373864
2009-06-29,35.91157056752
2009-06-30,35.516467316023
2009-07-01,36.751119273806374
2009-07-02,36.582810267702854
2009-07-03,37.16894643978
2009-07-04,36.29299136787482
2009-07-05,36.52285674258496
2009-07-06,36.20487037950865
2009-07-07,35.41994157342215
2009-07-08,35.22457067220765
2009-07-09,35.092360420306385
2009-07-10,35.017475359055105
2009-07-11,35.409544230043494
2009-07-12,34.92321865275404
2009-07-13,34.206227921619266
2009-07-14,34.552011145748324
2009-07-15,33.65814386758016
2009-07-16,33.96637141592173
2009-07-17,34.809056353744495
2009-07-18,34.363443974319736
2009-07-19,32.566053741858
2009-07-20,34.07552730129574
2009-07-21,32.53567239506154
2009-07-22,33.451280991842374
2009-07-23,33.04648409004436
2009-07-24,32.43541259572019
2009-07-25,31.8026802679526
2009-07-26,31.436955861461335
2009-07-27,32.02312758930388
2009-07-28,31.70488818454541
2009-07-29,30.850881422586067
